Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2016-08-12,MFP iOS calorie adjustment,Cardio,138.0,1,,,,,
2016-08-13,MFP iOS calorie adjustment,Cardio,112.0,1,,,,,
2016-08-14,MFP iOS calorie adjustment,Cardio,33.0,1,,,,,
2016-08-15,MFP iOS calorie adjustment,Cardio,65.0,1,,,,,
2016-08-16,MFP iOS calorie adjustment,Cardio,142.0,1,,,,,
2016-08-17,MFP iOS calorie adjustment,Cardio,76.0,1,,,,,
2016-08-18,MFP iOS calorie adjustment,Cardio,223.0,1,,,,,
2016-08-19,MFP iOS calorie adjustment,Cardio,563.0,1,,,,,
2016-08-20,MFP iOS calorie adjustment,Cardio,276.0,1,,,,,
2016-08-21,MFP iOS calorie adjustment,Cardio,468.0,1,,,,,
2016-08-22,MFP iOS calorie adjustment,Cardio,78.0,1,,,,,
2016-08-23,MFP iOS calorie adjustment,Cardio,306.0,1,,,,,
2016-08-24,MFP iOS calorie adjustment,Cardio,73.0,1,,,,,
2016-08-25,MFP iOS calorie adjustment,Cardio,107.0,1,,,,,
2016-08-26,MFP iOS calorie adjustment,Cardio,145.0,1,,,,,
2016-08-27,MFP iOS calorie adjustment,Cardio,165.0,1,,,,,
2016-08-28,MFP iOS calorie adjustment,Cardio,157.0,1,,,,,
2016-08-29,MFP iOS calorie adjustment,Cardio,138.0,1,,,,,
2016-08-30,MFP iOS calorie adjustment,Cardio,53.0,1,,,,,
2016-08-31,MFP iOS calorie adjustment,Cardio,145.0,1,,,,,
2016-09-01,MFP iOS calorie adjustment,Cardio,445.0,1,,,,,
2016-09-02,MFP iOS calorie adjustment,Cardio,248.0,1,,,,,
2016-09-03,MFP iOS calorie adjustment,Cardio,478.0,1,,,,,
2016-09-04,MFP iOS calorie adjustment,Cardio,136.0,1,,,,,
2016-09-05,MFP iOS calorie adjustment,Cardio,79.0,1,,,,,
2016-09-06,MFP iOS calorie adjustment,Cardio,271.0,1,,,,,
2016-09-07,MFP iOS calorie adjustment,Cardio,137.0,1,,,,,
2016-09-08,MFP iOS calorie adjustment,Cardio,287.0,1,,,,,
2016-09-09,MFP iOS calorie adjustment,Cardio,206.0,1,,,,,
2016-09-10,MFP iOS calorie adjustment,Cardio,238.0,1,,,,,
2016-09-11,MFP iOS calorie adjustment,Cardio,259.0,1,,,,,
2016-09-12,MFP iOS calorie adjustment,Cardio,85.0,1,,,,,
2016-09-13,MFP iOS calorie adjustment,Cardio,107.0,1,,,,,
2016-09-14,MFP iOS calorie adjustment,Cardio,124.0,1,,,,,
2016-09-15,MFP iOS calorie adjustment,Cardio,137.0,1,,,,,
2016-09-16,MFP iOS calorie adjustment,Cardio,101.0,1,,,,,
2016-09-17,MFP iOS calorie adjustment,Cardio,204.0,1,,,,,
2016-09-18,MFP iOS calorie adjustment,Cardio,14.0,1,,,,,
2016-09-19,MFP iOS calorie adjustment,Cardio,57.0,1,,,,,
2016-09-20,MFP iOS calorie adjustment,Cardio,79.0,1,,,,,
2016-09-21,MFP iOS calorie adjustment,Cardio,91.0,1,,,,,
2016-09-22,MFP iOS calorie adjustment,Cardio,267.0,1,,,,,
2016-09-23,MFP iOS calorie adjustment,Cardio,151.0,1,,,,,
2016-09-24,MFP iOS calorie adjustment,Cardio,64.0,1,,,,,
2016-09-25,MFP iOS calorie adjustment,Cardio,33.0,1,,,,,
2016-09-26,MFP iOS calorie adjustment,Cardio,61.0,1,,,,,
2016-09-27,MFP iOS calorie adjustment,Cardio,130.0,1,,,,,
2016-09-28,MFP iOS calorie adjustment,Cardio,109.0,1,,,,,
2016-09-29,MFP iOS calorie adjustment,Cardio,168.0,1,,,,,
2016-09-30,MFP iOS calorie adjustment,Cardio,166.0,1,,,,,
2016-10-01,MFP iOS calorie adjustment,Cardio,311.0,1,,,,,
2016-10-02,MFP iOS calorie adjustment,Cardio,153.0,1,,,,,
2016-10-03,MFP iOS calorie adjustment,Cardio,204.0,1,,,,,
2016-10-04,MFP iOS calorie adjustment,Cardio,336.0,1,,,,,
2016-10-05,MFP iOS calorie adjustment,Cardio,249.0,1,,,,,
2016-10-06,MFP iOS calorie adjustment,Cardio,333.0,1,,,,,
2016-10-07,MFP iOS calorie adjustment,Cardio,474.0,1,,,,,
2016-10-08,MFP iOS calorie adjustment,Cardio,308.0,1,,,,,
2016-10-09,MFP iOS calorie adjustment,Cardio,326.0,1,,,,,
2016-10-10,MFP iOS calorie adjustment,Cardio,191.0,1,,,,,
2016-10-11,MFP iOS calorie adjustment,Cardio,151.0,1,,,,,
2016-10-12,MFP iOS calorie adjustment,Cardio,352.0,1,,,,,
2016-10-13,MFP iOS calorie adjustment,Cardio,89.0,1,,,,,
2016-10-14,MFP iOS calorie adjustment,Cardio,244.0,1,,,,,
2016-10-15,MFP iOS calorie adjustment,Cardio,233.0,1,,,,,
2016-10-16,MFP iOS calorie adjustment,Cardio,74.0,1,,,,,
2016-10-17,MFP iOS calorie adjustment,Cardio,72.0,1,,,,,
2016-10-18,MFP iOS calorie adjustment,Cardio,107.0,1,,,,,
2016-10-19,MFP iOS calorie adjustment,Cardio,68.0,1,,,,,
2016-10-20,MFP iOS calorie adjustment,Cardio,116.0,1,,,,,
2016-10-21,MFP iOS calorie adjustment,Cardio,146.0,1,,,,,
2016-10-22,MFP iOS calorie adjustment,Cardio,197.0,1,,,,,
2016-10-25,MFP iOS calorie adjustment,Cardio,159.0,1,,,,,
2016-10-28,MFP iOS calorie adjustment,Cardio,199.0,1,,,,,
2016-10-29,MFP iOS calorie adjustment,Cardio,171.0,1,,,,,
2016-10-30,MFP iOS calorie adjustment,Cardio,16.0,1,,,,,
2016-10-31,MFP iOS calorie adjustment,Cardio,72.0,1,,,,,
2016-11-01,MFP iOS calorie adjustment,Cardio,127.0,1,,,,,
2016-11-02,MFP iOS calorie adjustment,Cardio,73.0,1,,,,,
2016-11-03,MFP iOS calorie adjustment,Cardio,184.0,1,,,,,
2016-11-04,MFP iOS calorie adjustment,Cardio,321.0,1,,,,,
2016-11-05,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2016-11-06,MFP iOS calorie adjustment,Cardio,125.0,1,,,,,
2016-11-07,MFP iOS calorie adjustment,Cardio,182.0,1,,,,,
2016-11-08,MFP iOS calorie adjustment,Cardio,96.0,1,,,,,
2016-11-09,MFP iOS calorie adjustment,Cardio,115.0,1,,,,,
2016-11-10,MFP iOS calorie adjustment,Cardio,66.0,1,,,,,
2016-11-11,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2016-11-12,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2016-11-13,MFP iOS calorie adjustment,Cardio,78.0,1,,,,,
2016-11-14,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2016-11-15,MFP iOS calorie adjustment,Cardio,78.0,1,,,,,
2016-11-16,MFP iOS calorie adjustment,Cardio,33.0,1,,,,,
2016-11-17,MFP iOS calorie adjustment,Cardio,85.0,1,,,,,
2016-11-18,MFP iOS calorie adjustment,Cardio,76.0,1,,,,,
2016-11-19,MFP iOS calorie adjustment,Cardio,16.0,1,,,,,
2016-11-20,MFP iOS calorie adjustment,Cardio,11.0,1,,,,,
2016-11-21,MFP iOS calorie adjustment,Cardio,38.0,1,,,,,
2016-11-22,MFP iOS calorie adjustment,Cardio,42.0,1,,,,,
2016-11-23,MFP iOS calorie adjustment,Cardio,89.0,1,,,,,
2016-11-24,MFP iOS calorie adjustment,Cardio,274.0,1,,,,,
2016-11-25,MFP iOS calorie adjustment,Cardio,73.0,1,,,,,
2016-11-26,MFP iOS calorie adjustment,Cardio,18.0,1,,,,,
2016-11-27,MFP iOS calorie adjustment,Cardio,3.0,1,,,,,
2016-11-28,MFP iOS calorie adjustment,Cardio,51.0,1,,,,,
2016-11-29,MFP iOS calorie adjustment,Cardio,45.0,1,,,,,
2016-11-30,MFP iOS calorie adjustment,Cardio,57.0,1,,,,,
2016-12-01,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2016-12-02,MFP iOS calorie adjustment,Cardio,67.0,1,,,,,
2016-12-03,MFP iOS calorie adjustment,Cardio,4.0,1,,,,,
2016-12-04,MFP iOS calorie adjustment,Cardio,103.0,1,,,,,
2016-12-05,MFP iOS calorie adjustment,Cardio,34.0,1,,,,,
2016-12-06,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2016-12-07,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2016-12-08,MFP iOS calorie adjustment,Cardio,64.0,1,,,,,
2016-12-09,MFP iOS calorie adjustment,Cardio,35.0,1,,,,,
2016-12-10,MFP iOS calorie adjustment,Cardio,184.0,1,,,,,
2016-12-11,MFP iOS calorie adjustment,Cardio,9.0,1,,,,,
2016-12-12,MFP iOS calorie adjustment,Cardio,57.0,1,,,,,
2016-12-13,MFP iOS calorie adjustment,Cardio,43.0,1,,,,,
2016-12-14,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2016-12-15,MFP iOS calorie adjustment,Cardio,50.0,1,,,,,
2016-12-16,MFP iOS calorie adjustment,Cardio,131.0,1,,,,,
2016-12-17,MFP iOS calorie adjustment,Cardio,33.0,1,,,,,
2016-12-18,MFP iOS calorie adjustment,Cardio,96.0,1,,,,,
2016-12-19,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2016-12-20,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2016-12-21,MFP iOS calorie adjustment,Cardio,118.0,1,,,,,
2016-12-22,MFP iOS calorie adjustment,Cardio,60.0,1,,,,,
2016-12-23,MFP iOS calorie adjustment,Cardio,27.0,1,,,,,
2016-12-24,MFP iOS calorie adjustment,Cardio,70.0,1,,,,,
2016-12-25,MFP iOS calorie adjustment,Cardio,2.0,1,,,,,
2016-12-26,MFP iOS calorie adjustment,Cardio,8.0,1,,,,,
2016-12-27,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2016-12-28,"Bench (Chest) Press, Machine",Strength,,,3,10,135.0,,
2016-12-28,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2016-12-28,"Running (jogging), 7 mph (8.5 min mile)",Cardio,193.0,12,,,,,
2016-12-29,MFP iOS calorie adjustment,Cardio,67.0,1,,,,,
2016-12-30,MFP iOS calorie adjustment,Cardio,32.0,1,,,,,
2016-12-31,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-01-01,MFP iOS calorie adjustment,Cardio,89.0,1,,,,,
2017-01-02,MFP iOS calorie adjustment,Cardio,30.0,1,,,,,
2017-01-03,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2017-01-04,MFP iOS calorie adjustment,Cardio,70.0,1,,,,,
2017-01-05,MFP iOS calorie adjustment,Cardio,58.0,1,,,,,
2017-01-06,MFP iOS calorie adjustment,Cardio,155.0,1,,,,,
2017-01-07,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-01-08,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-01-09,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-01-10,MFP iOS calorie adjustment,Cardio,100.0,1,,,,,
2017-01-11,MFP iOS calorie adjustment,Cardio,95.0,1,,,,,
2017-01-12,MFP iOS calorie adjustment,Cardio,92.0,1,,,,,
2017-01-13,MFP iOS calorie adjustment,Cardio,137.0,1,,,,,
2017-01-14,MFP iOS calorie adjustment,Cardio,44.0,1,,,,,
2017-01-15,MFP iOS calorie adjustment,Cardio,42.0,1,,,,,
2017-01-16,MFP iOS calorie adjustment,Cardio,58.0,1,,,,,
2017-01-17,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2017-01-18,MFP iOS calorie adjustment,Cardio,79.0,1,,,,,
2017-01-19,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2017-01-20,MFP iOS calorie adjustment,Cardio,85.0,1,,,,,
2017-01-21,MFP iOS calorie adjustment,Cardio,25.0,1,,,,,
2017-01-22,MFP iOS calorie adjustment,Cardio,5.0,1,,,,,
2017-01-23,MFP iOS calorie adjustment,Cardio,58.0,1,,,,,
2017-01-24,MFP iOS calorie adjustment,Cardio,45.0,1,,,,,
2017-01-25,MFP iOS calorie adjustment,Cardio,68.0,1,,,,,
2017-01-26,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2017-01-27,MFP iOS calorie adjustment,Cardio,60.0,1,,,,,
2017-01-28,MFP iOS calorie adjustment,Cardio,147.0,1,,,,,
2017-01-29,MFP iOS calorie adjustment,Cardio,27.0,1,,,,,
2017-01-30,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-01-31,MFP iOS calorie adjustment,Cardio,115.0,1,,,,,
2017-02-01,MFP iOS calorie adjustment,Cardio,161.0,1,,,,,
2017-02-02,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2017-02-03,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-02-04,MFP iOS calorie adjustment,Cardio,10.0,1,,,,,
2017-02-05,MFP iOS calorie adjustment,Cardio,17.0,1,,,,,
2017-02-06,MFP iOS calorie adjustment,Cardio,74.0,1,,,,,
2017-02-07,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2017-02-08,MFP iOS calorie adjustment,Cardio,53.0,1,,,,,
2017-02-09,MFP iOS calorie adjustment,Cardio,53.0,1,,,,,
2017-02-10,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-02-11,MFP iOS calorie adjustment,Cardio,81.0,1,,,,,
2017-02-12,MFP iOS calorie adjustment,Cardio,43.0,1,,,,,
2017-02-13,MFP iOS calorie adjustment,Cardio,118.0,1,,,,,
2017-02-14,MFP iOS calorie adjustment,Cardio,380.0,1,,,,,
2017-02-15,MFP iOS calorie adjustment,Cardio,107.0,1,,,,,
2017-02-16,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-02-17,MFP iOS calorie adjustment,Cardio,78.0,1,,,,,
2017-02-18,MFP iOS calorie adjustment,Cardio,13.0,1,,,,,
2017-02-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-02-20,MFP iOS calorie adjustment,Cardio,18.0,1,,,,,
2017-02-21,MFP iOS calorie adjustment,Cardio,152.0,1,,,,,
2017-02-22,MFP iOS calorie adjustment,Cardio,95.0,1,,,,,
2017-02-23,MFP iOS calorie adjustment,Cardio,181.0,1,,,,,
2017-02-24,MFP iOS calorie adjustment,Cardio,94.0,1,,,,,
2017-02-25,MFP iOS calorie adjustment,Cardio,264.0,1,,,,,
2017-02-26,MFP iOS calorie adjustment,Cardio,8.0,1,,,,,
2017-02-27,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-02-28,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2017-03-01,MFP iOS calorie adjustment,Cardio,140.0,1,,,,,
2017-03-02,MFP iOS calorie adjustment,Cardio,164.0,1,,,,,
2017-03-03,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2017-03-04,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-03-05,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-03-06,MFP iOS calorie adjustment,Cardio,31.0,1,,,,,
2017-03-07,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-03-08,MFP iOS calorie adjustment,Cardio,59.0,1,,,,,
2017-03-09,MFP iOS calorie adjustment,Cardio,34.0,1,,,,,
2017-03-10,MFP iOS calorie adjustment,Cardio,180.0,1,,,,,
2017-03-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2018-08-28,Fitbit calorie adjustment,Cardio,0.0,1,,,,6635,
2018-08-29,Fitbit calorie adjustment,Cardio,0.0,1,,,,932,
